"courseNumber","longName","crsValueUnits","crsValueHours","isBoardDeveloped","male","female","total"
27389,"IDT Examination (Web and Software Applications)",2,,"Y",521,78,599
15840,"Japanese Background Speakers",2,,"Y",6,16,22
15820,"Japanese Beginners",2,,"Y",268,397,665
15830,"Japanese Continuers",2,,"Y",222,418,640
15850,"Japanese Extension",1,,"Y",63,116,179
63241,"Japanese Life Skills",2,,"N",1,,1
15860,"Khmer Continuers",2,,"Y",3,5,8
15890,"Korean Background Speakers",2,,"Y",27,28,55
15880,"Korean Continuers",2,,"Y",3,17,20
43522,"Landscape Construction",2,,"N",1,,1
43524,"Landscape Construction",3,,"N",1,,1
62146,"Language, French Life Skills",2,,"N",1,,1
15900,"Latin Continuers",2,,"Y",97,67,164
15910,"Latin Extension",1,,"Y",64,50,114
15220,"Legal Studies",2,,"Y",3940,6353,10293
63271,"Lifestyle Studies",2,,"N",23,6,29
50335,"Locksmithing",2,,"N",2,,2
95077,"Logos I Philosophy",1,,"N",1,1,2
95078,"Logos II Ethics",1,,"N",,1,1
15940,"Macedonian Continuers",2,,"Y",8,17,25
15960,"Maltese Continuers",2,,"Y",2,1,3
65555,"Marine Mechanical Technology",2,,"N",1,,1
33504,"Marine Studies",1,,"N",15,10,25
33505,"Marine Studies",2,,"N",271,131,402
59673,"Maritime Operations",2,,"N",2,,2
15240,"Mathematics",2,,"Y",8657,7482,16139
15250,"Mathematics Extension 1",2,,"Y",5087,3584,8671
15260,"Mathematics Extension 2",2,,"Y",2095,1156,3251
30120,"Mathematics General 1",2,,"N",2658,1562,4220
15235,"Mathematics General 2",2,,"Y",15850,15910,31760
16610,"Mathematics Life Skills",2,,"Y",941,460,1401
54600,"Meat Processing (Abattoirs)",2,,"N",1,,1
54630,"Meat Processing (Retail Butcher)",2,,"N",2,,2
59850,"Media",2,,"N",39,24,63
59851,"Media",2,,"N",80,22,102
59852,"Media",4,,"N",4,,4
26700,"Metal and Engineering",2,,"Y",24,2,26
26701,"Metal and Engineering",2,,"Y",899,26,925
26702,"Metal and Engineering",4,,"Y",34,1,35
26799,"Metal and Engineering Examination",2,,"Y",478,14,492
26791,"Metal and Engineering School-based Apprenticeship",2,,"Y",6,,6
26704,"Metal and Engineering Specialisation Study",2,,"Y",6,,6
26794,"Metal and Engineering SBA Specialisation",2,,"Y",15,,15
95001,"Mind and Morality",1,,"N",,1,1
43557,"Mobile Plant Technology",2,,"N",2,,2
15970,"Modern Greek Beginners",2,,"Y",26,43,69
15980,"Modern Greek Continuers",2,,"Y",37,60,97
15990,"Modern Greek Extension",1,,"Y",20,31,51
16000,"Modern Hebrew Continuers",2,,"Y",17,29,46
15270,"Modern History",2,,"Y",5149,5636,10785
15310,"Music Extension",1,,"Y",231,222,453
65172,"Music Industry",2,,"N",7,5,12
65173,"Music Industry",2,,"N",19,9,28
65174,"Music Industry",4,,"N",,1,1
65170,"Music Industry - Introduction",2,,"N",7,1,8
65171,"Music Industry - Introduction",3,,"N",,1,1
16656,"Music Life Skills",2,,"Y",79,38,117
15290,"Music 1",2,,"Y",2318,2359,4677
15300,"Music 2",2,,"Y",343,374,717
58141,"Opal Cutting and Polishing",2,,"N",4,1,5
42986,"Outdoor Power Equipment",3,,"N",1,,1
43412,"Outdoor Recreation",3,,"N",15,8,23
43438,"Outdoor Recreation",2,,"N",65,41,106
43439,"Outdoor Recreation",4,,"N",2,3,5
16010,"Persian Background Speakers",2,,"Y",13,17,30
16620,"Personal Development, Health & PE Life Skills",2,,"Y",647,304,951
15320,"Personal Development, Health and Physical Education",2,,"Y",7014,8484,15498
63091,"Philosophy",2,,"N",10,15,25
35227,"Photography, Video and Digital Imaging",1,,"N",69,112,181
35228,"Photography, Video and Digital Imaging",2,,"N",434,590,1024
15330,"Physics",2,,"Y",7156,2000,9156
52210,"Plumbing",2,,"N",42,,42
52211,"Plumbing",4,,"N",7,,7
52212,"Plumbing",2,,"N",77,,77
16020,"Polish Continuers",2,,"Y",9,11,20
63310,"Portfolio and Presentation",2,,"N",6,9,15
16030,"Portuguese Continuers",2,,"Y",4,9,13
26800,"Primary Industries",2,,"Y",15,11,26
26801,"Primary Industries",2,,"Y",564,393,957
26802,"Primary Industries",4,,"Y",44,13,57
26899,"Primary Industries Examination",2,,"Y",283,274,557
26803,"Primary Industries Specialisation Study",1,,"Y",8,,8
26804,"Primary Industries Specialisation Study",2,,"Y",36,22,58
26805,"Primary Industries Specialisation Study",3,,"Y",,1,1
58080,"Property Services",2,,"N",13,5,18
58081,"Property Services",2,,"N",15,13,28
58082,"Property Services",4,,"N",2,2,4
58083,"Property Services Specialisation Study",1,,"N",,4,4
63099,"Psychology",2,,"N",9,5,14
16035,"Punjabi Continuers",2,,"Y",13,9,22
58254,"Racing (Stablehand)",2,,"N",2,1,3
63280,"Religious Education",1,,"N",,2,2
65501,"Resources and Infrastructure",2,,"N",1,,1
59425,"Retail Baking",2,,"N",9,18,27
59426,"Retail Baking",2,,"N",9,19,28
59428,"Retail Baking (Bread)",2,,"N",,1,1
43463,"Retail Make-Up and Skin Care",4,,"N",,17,17
26907,"Retail Operations Extension",1,,"Y",,2,2
26900,"Retail Services",2,,"Y",40,72,112
26901,"Retail Services",2,,"Y",478,1166,1644
26902,"Retail Services",4,,"Y",39,76,115
26999,"Retail Services Examination",2,,"Y",227,672,899
16045,"Russian Continuers",2,,"Y",22,19,41
16640,"Science Life Skills",2,,"Y",443,235,678
15340,"Senior Science",2,,"Y",3591,3066,6657
16050,"Serbian Continuers",2,,"Y",11,8,19
41631,"Signage",2,,"N",,2,2
41632,"Signage",2,,"N",1,1,2
65244,"Skills for Work and Vocational Pathways",2,,"N",44,43,87
65245,"Skills for Work and Vocational Pathways",3,,"N",,3,3
65246,"Skills for Work and Vocational Pathways",2,,"N",7,1,8
65247,"Skills for Work and Vocational Pathways",4,,"N",1,,1
15350,"Society and Culture",2,,"Y",810,3820,4630
16692,"Society and Culture Life Skills",2,,"Y",30,17,47
15360,"Software Design and Development",2,,"Y",1715,127,1842
16070,"Spanish Beginners",2,,"Y",31,116,147
16080,"Spanish Continuers",2,,"Y",55,92,147
16090,"Spanish Extension",1,,"Y",15,27,42
50406,"Sport and Recreation",3,,"N",2,6,8
50407,"Sport and Recreation",2,,"N",10,26,36
50409,"Sport and Recreation",4,,"N",3,7,10
65583,"Sport Career Oriented Participation",2,,"N",,1,1
50402,"Sport Coaching",2,,"N",473,165,638
50404,"Sport Coaching",4,,"N",23,18,41
54620,"Sport, Fitness and Recreation",2,,"N",43,27,70
35016,"Sport, Lifestyle and Recreation Studies",1,,"N",330,80,410
35017,"Sport, Lifestyle and Recreation Studies",2,,"N",3127,1053,4180
50411,"Sports Trainer",2,,"N",1,2,3
44003,"Sports Turf Management",2,,"N",1,,1
95006,"Step up into Teaching",1,,"N",1,7,8
15370,"Studies of Religion I",1,,"Y",4137,4789,8926
16696,"Studies of Religion I Life Skills",1,,"Y",11,10,21
15380,"Studies of Religion II",2,,"Y",2191,4089,6280
16693,"Studies of Religion II Life Skills",2,,"Y",5,8,13
45907,"Surveying",2,,"N",1,,1
16100,"Swedish Continuers",2,,"Y",2,3,5
16110,"Tamil Continuers",2,,"Y",6,19,25
16686,"Technology Life Skills",2,,"Y",289,142,431
58120,"Telecommunications",2,,"N",1,1,2
15390,"Textiles and Design",2,,"Y",31,1484,1515
16680,"Textiles and Design Life Skills",2,,"Y",2,19,21
43565,"Theatre and Screen Performance",2,,"N",,1,1
42034,"Tourism",2,,"N",,3,3
42035,"Tourism",3,,"N",1,2,3
27400,"Tourism, Travel and Events",2,,"Y",14,69,83
27401,"Tourism, Travel and Events",2,,"Y",45,407,452
27402,"Tourism, Travel and Events",4,,"Y",15,25,40
27499,"Tourism, Travel and Events Examination",2,,"Y",34,321,355
68293,"Travel and Tourism",2,,"N",2,3,5
16120,"Turkish Continuers",2,,"Y",13,50,63
16130,"Ukrainian Continuers",2,,"Y",2,3,5
95070,"UNI Step-Up",2,,"N",,4,4
16140,"Vietnamese Continuers",2,,"Y",51,74,125
15400,"Visual Arts",2,,"Y",2565,6348,8913
43425,"Visual Arts and Contemporary Craft",2,,"N",15,36,51
43426,"Visual Arts and Contemporary Craft",2,,"N",10,24,34
43435,"Visual Arts and Contemporary Craft",4,,"N",,1,1
16658,"Visual Arts Life Skills",2,,"Y",189,142,331
89766,"Visual Arts, Printmaking",2,,"N",1,11,12
35102,"Visual Design",1,,"N",33,37,70
35103,"Visual Design",2,,"N",153,161,314
45905,"Wall & Ceiling Lining",2,,"N",1,,1
65505,"Warehousing Operations",2,,"N",23,2,25
65506,"Warehousing Operations",2,,"N",7,,7
16670,"Work and the Community Life Skills",2,,"Y",662,376,1038
35202,"Work Studies",1,,"N",184,108,292
35203,"Work Studies",2,,"N",630,535,1165
40910,"Workplace Communication",2,,"N",1,2,3
95067,"World Politics",1,,"N",1,,1
